gene_name	source	accession	description
GRMZM5G860369	RefSeq DNA	NM_001176030	hypothetical protein LOC100383374 (LOC100383374), mRNA
GRMZM2G324467	RefSeq peptide	NP_001145195	hypothetical protein LOC100278445 
GRMZM2G102161	UniProtKB/TrEMBL	D3YBA2	MADS-domain transcription factor 
GRMZM2G069317	RefSeq peptide	NP_001167972	hypothetical protein LOC100381689 
GRMZM2G057743	RefSeq peptide	NP_001169297	hypothetical protein LOC100383161 
GRMZM2G160454	UniProtKB/TrEMBL	B4FPP5	Putative uncharacterized protein 
GRMZM2G046503	RefSeq peptide	NP_001169280	hypothetical protein LOC100383143 
GRMZM2G407249	RefSeq peptide	NP_001131358	hypothetical protein LOC100192679 
GRMZM2G025302	UniProtKB/TrEMBL	B4FMV0	Putative uncharacterized protein 
GRMZM2G111117	UniProtKB/TrEMBL	Q8S423	P-type R2R3 Myb protein Fragment 
GRMZM5G853948	RefSeq peptide	NP_001159262	hypothetical protein LOC100304352 
GRMZM5G807433	RefSeq peptide	NP_001142995	hypothetical protein LOC100275456 
GRMZM2G068455	RefSeq peptide	NP_001132228	hypothetical protein LOC100193663 
GRMZM5G820996	RefSeq peptide	NP_001152744	60S ribosomal protein L34 
AC211394.4_FG004	RefSeq peptide	NP_001147979	purple acid phosphatase 
GRMZM2G456357	RefSeq peptide	NP_001143528	hypothetical protein LOC100276215 
GRMZM5G862467	RefSeq peptide	NP_001170363	hypothetical protein LOC100384341 
GRMZM2G083642	RefSeq peptide	NP_001148720	small nuclear ribonucleoprotein G 
GRMZM5G867376	RefSeq peptide	NP_001145754	hypothetical protein LOC100279261 
GRMZM5G872118	RefSeq peptide	NP_001132488	hypothetical protein LOC100193947 
GRMZM2G338702	RefSeq peptide	NP_001144274	hypothetical protein LOC100277152 
GRMZM5G836389	UniProtKB/TrEMBL	B6UEN6	Putative uncharacterized protein 
GRMZM2G093880	RefSeq peptide	NP_001136761	hypothetical protein LOC100216902 
GRMZM2G072550	RefSeq peptide	NP_001144031	hypothetical protein LOC100276855 
GRMZM5G858599	UniProtKB/TrEMBL	C4J3H6	Putative uncharacterized protein 
GRMZM5G819527	UniProtKB/TrEMBL	C0P7S2	Putative uncharacterized protein 
GRMZM5G826911	RefSeq peptide	NP_001130809	hypothetical protein LOC100191913 
AC225147.4_FG003	RefSeq peptide	NP_001131418	hypothetical protein LOC100192747 
AC225147.4_FG002	RefSeq peptide	NP_001131287	hypothetical protein LOC100192600 
GRMZM5G862109	RefSeq peptide	NP_001104904	indeterminate spikelet1 
GRMZM5G880027	UniProtKB/TrEMBL	C4J1P7	Putative uncharacterized protein 
GRMZM2G061626	RefSeq peptide	NP_001150897	ZFP16-2 
GRMZM5G861446	UniProtKB/TrEMBL	C4J2C9	Putative uncharacterized protein 
GRMZM2G007681	UniProtKB/TrEMBL	C0JR65	DNA-directed RNA polymerase (EC 2.7.7.6)
GRMZM5G821132	UniProtKB/TrEMBL	C0PM04	Putative uncharacterized protein 
GRMZM2G104481	RefSeq peptide	NP_001141380	hypothetical protein LOC100273471 
GRMZM5G839512	RefSeq peptide	NP_001169091	hypothetical protein LOC100382934 
GRMZM2G042870	RefSeq peptide	NP_001130934	hypothetical protein LOC100192039 
GRMZM2G074037	UniProtKB/TrEMBL	B4FY92	Putative uncharacterized protein 
GRMZM5G841083	UniProtKB/TrEMBL	C4JAE1	Putative uncharacterized protein 
GRMZM2G158252	RefSeq peptide	NP_001104867	histidine kinase 3 
GRMZM2G136901	RefSeq peptide	NP_001144092	hypothetical protein LOC100276927 
GRMZM5G866758	RefSeq peptide	NP_001148667	acetyl-CoA acetyltransferase, cytosolic 1 
GRMZM5G874608	UniProtKB/TrEMBL	C4IY45	Putative uncharacterized protein 
GRMZM2G118490	RefSeq peptide	NP_001159222	hypothetical protein LOC100304308 
GRMZM5G816609	RefSeq peptide	NP_001170353	hypothetical protein LOC100384330 
GRMZM2G033138	RefSeq peptide	NP_001142847	hypothetical protein LOC100275240 
GRMZM5G849718	UniProtKB/TrEMBL	C4J533	Putative uncharacterized protein 
GRMZM2G106703	UniProtKB/TrEMBL	C4JC45	Putative uncharacterized protein 
GRMZM2G169227	RefSeq peptide	NP_001149164	F-box domain containing protein 
AC217910.3_FG001	RefSeq peptide	NP_001147129	metal ion binding protein 
GRMZM5G844703	RefSeq peptide	NP_001140351	hypothetical protein LOC100272399 
GRMZM2G144547	RefSeq peptide	NP_001142007	hypothetical protein LOC100274157 
GRMZM5G852702	UniProtKB/TrEMBL	C4J826	Putative uncharacterized protein 
GRMZM5G860016	UniProtKB/TrEMBL	C4J0X1	Putative uncharacterized protein 
GRMZM2G094723	RefSeq peptide	NP_001158968	hypothetical protein LOC100303916 
GRMZM2G009506	RefSeq peptide	NP_001149383	serine/threonine-protein kinase receptor 
GRMZM5G819148	UniProtKB/TrEMBL	B8A0C0	Putative uncharacterized protein 
GRMZM2G400135	RefSeq peptide	NP_001169202	hypothetical protein LOC100383055 
GRMZM5G853928	RefSeq peptide	NP_001170330	hypothetical protein LOC100384301 
GRMZM2G142157	UniProtKB/TrEMBL	C4J9M2	Putative uncharacterized protein 
GRMZM2G049127	RefSeq peptide	NP_001146165	hypothetical protein LOC100279734 
GRMZM2G049185	RefSeq peptide	NP_001130879	hypothetical protein LOC100191983 
GRMZM2G121176	RefSeq peptide	NP_001130050	hypothetical protein LOC100191142 
GRMZM5G804204	UniProtKB/TrEMBL	C0P6F7	Putative uncharacterized protein 
GRMZM2G305254	RefSeq peptide	NP_001146673	hypothetical protein LOC100280273 
GRMZM5G816611	UniProtKB/TrEMBL	C4J6W0	Putative uncharacterized protein 
GRMZM2G166049	RefSeq peptide	NP_001140637	hypothetical protein LOC100272712 
GRMZM5G899851	RefSeq DNA	NM_001111839	LOC542229 (cl1856_1), mRNA
GRMZM5G814922	UniProtKB/TrEMBL	C4J7M9	Putative uncharacterized protein 
AC191251.3_FG005	RefSeq peptide	NP_001150801	cell differentiation protein rcd1 
GRMZM5G805124	UniProtKB/TrEMBL	C4JC74	Putative uncharacterized protein 
AC207562.3_FG001	UniProtKB/TrEMBL	C0PLE2	Putative uncharacterized protein 
GRMZM5G811095	RefSeq peptide	NP_001147918	synaptic vesicle 2-related protein 
GRMZM2G121366	RefSeq peptide	NP_001144560	hypothetical protein LOC100277564 
GRMZM2G414159	RefSeq peptide	NP_001167728	hypothetical protein LOC100381416 
GRMZM5G889064	UniProtKB/TrEMBL	C4JAD2	Putative uncharacterized protein 
GRMZM2G166644	UniProtKB/TrEMBL	B4FX03	Putative uncharacterized protein 
GRMZM5G820277	UniProtKB/TrEMBL	C4J3W6	Putative uncharacterized protein 
GRMZM2G103672	RefSeq peptide	NP_001148569	beta-expansin 4 
GRMZM5G859316	RefSeq peptide	NP_001148493	LOC100282108 
GRMZM5G877109	UniProtKB/TrEMBL	C4J568	Putative uncharacterized protein 
GRMZM5G812926	RefSeq peptide	NP_001168297	hypothetical protein LOC100382062 
GRMZM5G805732	RefSeq peptide	NP_001132665	hypothetical protein LOC100194142 
GRMZM5G898351	RefSeq peptide	NP_001167735	hypothetical protein LOC100381423 
GRMZM2G371795	RefSeq peptide	NP_001149954	threonine endopeptidase 
GRMZM2G465430	UniProtKB/TrEMBL	C0PLR4	Putative uncharacterized protein 
GRMZM5G876708	UniProtKB/TrEMBL	B8A2K4	Putative uncharacterized protein 
GRMZM2G001297	UniProtKB/TrEMBL	C4JAI2	Putative uncharacterized protein 
GRMZM5G867463	RefSeq peptide	NP_001170064	hypothetical protein LOC100383980 
GRMZM5G808987	UniProtKB/TrEMBL	C4J3V6	Putative uncharacterized protein 
GRMZM5G877956	UniProtKB/TrEMBL	B4FHM7	Putative uncharacterized protein 
GRMZM2G420432	RefSeq peptide	NP_001132206	hypothetical protein LOC100193635 
GRMZM5G884156	UniProtKB/TrEMBL	C4J791	Putative uncharacterized protein 
GRMZM5G879749	UniProtKB/TrEMBL	B4FZF4	Putative uncharacterized protein 
GRMZM5G832135	RefSeq DNA	NM_001157709	LOC100284814 (pco083622), mRNA
GRMZM2G070351	RefSeq peptide	NP_001149256	diphosphomevalonate decarboxylase 
GRMZM2G075978	RefSeq peptide	NP_001136750	hypothetical protein LOC100216891 
GRMZM2G538535	RefSeq peptide	NP_001141341	hypothetical protein LOC100273432 
GRMZM5G849243	UniProtKB/TrEMBL	C4J152	Putative uncharacterized protein 
AC195914.2_FG003	RefSeq peptide	NP_001146677	hypothetical protein LOC100280277 
GRMZM5G892262	UniProtKB/TrEMBL	C0PB66	Putative uncharacterized protein 
GRMZM5G846162	UniProtKB/TrEMBL	C4J878	Putative uncharacterized protein 
GRMZM2G076936	RefSeq peptide	NP_001146669	hypothetical protein LOC100280269 
GRMZM2G590333	RefSeq peptide	NP_001143974	hypothetical protein LOC100276791 
GRMZM2G076896	RefSeq peptide	NP_001147321	DNA binding protein 
GRMZM2G094123	RefSeq peptide	NP_001140354	hypothetical protein LOC100272402 
GRMZM5G837626	RefSeq DNA	NM_001175486	hypothetical protein LOC100382777 (LOC100382777), mRNA
GRMZM2G096622	RefSeq peptide	NP_001131824	hypothetical protein LOC100193197 
GRMZM5G818213	RefSeq peptide	NP_001141804	hypothetical protein LOC100273941 
GRMZM5G895188	RefSeq peptide	NP_001146319	hypothetical protein LOC100279895 
GRMZM2G381822	RefSeq peptide	NP_001105730	origin recognition complex subunit 3 
GRMZM5G899649	UniProtKB/TrEMBL	C0PL30	Putative uncharacterized protein 
GRMZM2G179500	RefSeq peptide	NP_001158892	hypothetical protein LOC100303780 
GRMZM5G883792	UniProtKB/TrEMBL	C0PMH5	Putative uncharacterized protein 
GRMZM2G134747	RefSeq peptide	NP_001150815	LOC100284448 
GRMZM5G814338	UniProtKB/TrEMBL	C4J488	Putative uncharacterized protein 
GRMZM2G001820	RefSeq peptide	NP_001159249	hypothetical protein LOC100304339 
GRMZM2G010154	RefSeq DNA	NM_001151766	hypothetical protein LOC100278516 (LOC100278516), mRNA
GRMZM2G003607	RefSeq peptide	NP_001146864	transposon protein 
GRMZM2G003640	RefSeq peptide	NP_001105824	LOC732725 
GRMZM2G116840	RefSeq peptide	NP_001132107	hypothetical protein LOC100193523 
GRMZM5G849919	UniProtKB/TrEMBL	C4J630	Putative uncharacterized protein 
GRMZM5G823004	RefSeq peptide	NP_001145283	hypothetical protein LOC100278579 
GRMZM5G820122	RefSeq peptide	NP_001106060	low phytic acid 1 
GRMZM5G860938	RefSeq peptide	NP_001140304	hypothetical protein LOC100272349 
GRMZM5G852723	RefSeq peptide	NP_043073	hypothetical protein ZemaCp072 
GRMZM5G824351	RefSeq peptide	NP_043108	hypothetical protein ZemaCp107 
GRMZM5G845018	RefSeq peptide	NP_001136816	hypothetical protein LOC100216963 
GRMZM2G012585	UniProtKB/TrEMBL	B6SYM3	Putative uncharacterized protein 
GRMZM5G805731	UniProtKB/TrEMBL	C4J4L0	Putative uncharacterized protein 
GRMZM5G836588	RefSeq peptide	NP_001130380	hypothetical protein LOC100191476 
GRMZM2G016922	RefSeq peptide	NP_001169726	hypothetical protein LOC100383607 
GRMZM2G337068	RefSeq peptide	NP_001142784	hypothetical protein LOC100275152 
GRMZM2G350711	RefSeq peptide	NP_001146028	hypothetical protein LOC100279559 
GRMZM5G800286	RefSeq DNA	NM_001176433	hypothetical protein LOC100383799 (LOC100383799), mRNA
GRMZM5G850013	UniProtKB/TrEMBL	C0PP30	Putative uncharacterized protein 
GRMZM2G102878	RefSeq peptide	NP_001150707	LOC100284340 
GRMZM2G321753	RefSeq peptide	NP_001105528	defective kernel1 
GRMZM5G866100	RefSeq peptide	NP_001148835	LOC100282453 
GRMZM5G817037	RefSeq peptide	NP_001152701	proteasome subunit beta type 1 
GRMZM5G841969	UniProtKB/TrEMBL	C4J1N6	Putative uncharacterized protein 
GRMZM2G035996	UniProtKB/TrEMBL	O81230	Shaggy kinase homolog Fragment 
GRMZM2G125688	RefSeq peptide	NP_001168885	hypothetical protein LOC100382690 
GRMZM5G807260	RefSeq peptide	NP_001144614	hypothetical protein LOC100277630 
AC155624.2_FG006	RefSeq peptide	NP_001168381	hypothetical protein LOC100382150 
GRMZM5G833774	RefSeq peptide	NP_001152449	protein phosphatase 2C 
GRMZM5G891266	UniProtKB/TrEMBL	B7ZYA2	Putative uncharacterized protein 
GRMZM2G018417	RefSeq peptide	NP_001130929	hypothetical protein LOC100192034 
GRMZM5G879029	RefSeq peptide	NP_001168976	hypothetical protein LOC100382803 
GRMZM5G839866	UniProtKB/TrEMBL	C0P2A8	Putative uncharacterized protein 
GRMZM5G886514	RefSeq peptide	NP_001170731	hypothetical protein LOC100384818 
GRMZM2G171324	RefSeq peptide	NP_001145256	hypothetical protein LOC100278544 
GRMZM5G806403	RefSeq peptide	NP_001170201	hypothetical protein LOC100384151 
GRMZM5G813143	RefSeq peptide	NP_001132584	hypothetical protein LOC100194055 
GRMZM2G134947	UniProtKB/TrEMBL	Q7G1F6	Anionic peroxidase H Fragment 
GRMZM2G079417	UniProtKB/TrEMBL	C0PFY5	Putative uncharacterized protein 
GRMZM2G139024	RefSeq peptide	NP_001141328	hypothetical protein LOC100273419 
GRMZM2G035664	RefSeq peptide	NP_001159257	hypothetical protein LOC100304347 
GRMZM5G833854	UniProtKB/TrEMBL	C0P3G8	Putative uncharacterized protein 
GRMZM5G844309	UniProtKB/TrEMBL	C4J181	Putative uncharacterized protein 
GRMZM5G860173	UniProtKB/TrEMBL	C0PBF1	Putative uncharacterized protein 
GRMZM2G344967	RefSeq peptide	NP_001145221	hypothetical protein LOC100278485 
GRMZM2G019177	RefSeq peptide	NP_001152706	LOC100286347 
GRMZM5G812310	UniProtKB/TrEMBL	C4J0T0	Putative uncharacterized protein 
GRMZM5G814015	UniProtKB/TrEMBL	C4J7W5	Putative uncharacterized protein 
GRMZM5G889176	RefSeq peptide	NP_001169590	hypothetical protein LOC100383471 
GRMZM2G006006	RefSeq peptide	NP_001141272	hypothetical protein LOC100273361 
GRMZM2G132748	RefSeq peptide	NP_001143167	hypothetical protein LOC100275660 
GRMZM5G803962	RefSeq peptide	NP_001146107	hypothetical protein LOC100279644 
GRMZM2G062127	RefSeq DNA	NM_001151181	hypothetical protein LOC100277678 (LOC100277678), mRNA
GRMZM2G163154	RefSeq peptide	NP_001169974	hypothetical protein LOC100383875 
GRMZM5G839014	RefSeq peptide	NP_001150839	LOC100284472 
AC208897.3_FG003	RefSeq peptide	NP_001169533	hypothetical protein LOC100383408 
GRMZM2G156246	RefSeq peptide	NP_001150243	LOC100283873 
GRMZM5G836190	UniProtKB/TrEMBL	B6V3C2	PAN1 
GRMZM5G892535	UniProtKB/TrEMBL	C4J582	Putative uncharacterized protein 
GRMZM5G879116	RefSeq peptide	NP_001145923	hypothetical protein LOC100279446 
GRMZM5G891739	RefSeq peptide	NP_001149119	superoxide dismutase 2, mitochondrial 
GRMZM5G879527	RefSeq peptide	NP_001147910	DNA binding protein 
GRMZM5G835362	UniProtKB/TrEMBL	C0HGK0	Putative uncharacterized protein 
GRMZM2G160917	UniProtKB/TrEMBL	Q9SM15	SBP-domain protein 5 Fragment 
GRMZM2G040728	RefSeq peptide	NP_001146262	hypothetical protein LOC100279836 
GRMZM2G051138	RefSeq peptide	NP_001146613	hypothetical protein LOC100280210 
GRMZM2G417658	RefSeq peptide	NP_001143248	hypothetical protein LOC100275773 
GRMZM2G056920	RefSeq peptide	NP_001132006	hypothetical protein LOC100193411 
GRMZM2G063909	RefSeq DNA	NM_001153134	hypothetical protein LOC100280203 (LOC100280203), mRNA
GRMZM5G815619	UniProtKB/TrEMBL	C4J7F4	Putative uncharacterized protein 
AC199487.4_FG001	UniProtKB/TrEMBL	B6UFQ1	Putative uncharacterized protein 
GRMZM2G003595	UniProtKB/TrEMBL	B6UFQ1	Putative uncharacterized protein 
GRMZM5G830457	RefSeq peptide	NP_001144302	hypothetical protein LOC100277190 
GRMZM5G897825	RefSeq peptide	YP_588372	hypothetical protein ZeamMp112 
GRMZM5G887940	UniProtKB/TrEMBL	C4J0F0	Putative uncharacterized protein 
GRMZM5G893055	RefSeq peptide	NP_001169118	hypothetical protein LOC100382963 
GRMZM2G123585	RefSeq peptide	NP_001132760	hypothetical protein LOC100194247 
GRMZM2G126128	RefSeq peptide	NP_001145052	hypothetical protein LOC100278239 
GRMZM5G853822	UniProtKB/TrEMBL	C4J7J4	Putative uncharacterized protein 
GRMZM2G133394	RefSeq peptide	NP_001168399	hypothetical protein LOC100382168 
AC186512.3_FG001	UniProtKB/TrEMBL	C4J5V2	Putative uncharacterized protein 
AC186512.3_FG007	RefSeq peptide	NP_001145553	hypothetical protein LOC100279008 
GRMZM2G011010	RefSeq peptide	NP_001168366	hypothetical protein LOC100382134 
GRMZM5G867171	UniProtKB/TrEMBL	C4J3R0	Putative uncharacterized protein 
GRMZM5G853874	UniProtKB/TrEMBL	B6SS73	Putative uncharacterized protein 
GRMZM2G324540	RefSeq peptide	NP_001130751	hypothetical protein LOC100191855 
GRMZM5G838666	RefSeq peptide	NP_001170469	hypothetical protein LOC100384466 
GRMZM5G899167	UniProtKB/TrEMBL	C0P424	Putative uncharacterized protein 
GRMZM2G438622	RefSeq peptide	NP_001170333	hypothetical protein LOC100384304 
GRMZM2G007201	RefSeq peptide	NP_001144129	hypothetical protein LOC100276974 
GRMZM5G865352	UniProtKB/TrEMBL	C4IYZ5	Putative uncharacterized protein 
GRMZM2G001079	RefSeq peptide	NP_001147664	beta3-glucuronyltransferase 
GRMZM5G898817	RefSeq DNA	NM_001177252	hypothetical protein LOC100384807 (LOC100384807), mRNA
GRMZM5G876389	RefSeq peptide	NP_001168183	hypothetical protein LOC100381938 
GRMZM5G847302	RefSeq peptide	NP_001168183	hypothetical protein LOC100381938 
GRMZM2G163557	RefSeq DNA	NM_001149863	hypothetical protein LOC100275933 (LOC100275933), mRNA
GRMZM5G835286	UniProtKB/TrEMBL	C4J868	Putative uncharacterized protein 
GRMZM2G097884	RefSeq peptide	NP_001170451	hypothetical protein LOC100384443 
GRMZM2G398500	RefSeq peptide	NP_001131969	hypothetical protein LOC100193367 
GRMZM5G840002	RefSeq peptide	NP_001152605	3-isopropylmalate dehydratase small subunit 2 
GRMZM5G834894	RefSeq peptide	NP_001148942	ribosome biogenesis protein NEP1 
GRMZM2G118731	RefSeq peptide	NP_001136581	hypothetical protein LOC100216704 
GRMZM5G816643	UniProtKB/TrEMBL	C4J1M7	Putative uncharacterized protein 
GRMZM2G134045	RefSeq peptide	NP_001149824	ADP-ribosylation factor GTPase-activating protein 3 
GRMZM5G845782	UniProtKB/TrEMBL	B6SL93	Early response to dehydration 15-like proteinPutative uncharacterized protein ;
GRMZM5G829965	RefSeq peptide	NP_001145896	hypothetical protein LOC100279412 
GRMZM5G810434	UniProtKB/TrEMBL	C4J606	Putative uncharacterized protein 
GRMZM2G001816	RefSeq DNA	NM_001154923	60S ribosomal protein L11-1 (LOC100282010), mRNA
GRMZM2G132358	UniProtKB/TrEMBL	C4JAI3	Putative uncharacterized protein 
GRMZM2G018962	RefSeq peptide	NP_001132213	hypothetical protein LOC100193644 
GRMZM2G110582	RefSeq peptide	NP_001131765	hypothetical protein LOC100193134 
GRMZM5G888797	RefSeq peptide	NP_001158898	hypothetical protein LOC100303792 
GRMZM5G868908	RefSeq peptide	NP_001152505	integrin beta-1-binding protein 2 
GRMZM5G844257	RefSeq peptide	NP_001168827	hypothetical protein LOC100382632 
GRMZM5G888934	RefSeq DNA	NM_001158909	pectinesterase inhibitor domain containing protein (LOC100286021), mRNA
GRMZM5G864335	RefSeq peptide	NP_001137046	hypothetical protein LOC100217217 
GRMZM5G875327	UniProtKB/TrEMBL	C4J6R2	Putative uncharacterized protein 
GRMZM5G806169	UniProtKB/TrEMBL	C4J168	Putative uncharacterized protein 
GRMZM2G456603	RefSeq peptide	NP_001144784	hypothetical protein LOC100277851 
GRMZM2G358693	RefSeq peptide	NP_001170277	hypothetical protein LOC100384238 
AC217050.4_FG007	RefSeq peptide	NP_001105249	LOC542156 
GRMZM5G883072	UniProtKB/TrEMBL	C4J876	Putative uncharacterized protein 
GRMZM5G872443	RefSeq peptide	NP_001168745	hypothetical protein LOC100382540 
GRMZM2G030463	RefSeq peptide	NP_001169504	hypothetical protein LOC100383378 
GRMZM2G139441	RefSeq peptide	NP_001140671	hypothetical protein LOC100272746 
GRMZM5G835810	RefSeq peptide	NP_001152292	LOC100285931 
GRMZM5G895991	RefSeq peptide	NP_001136923	hypothetical protein LOC100217081 
GRMZM5G883086	UniProtKB/TrEMBL	C0PDJ2	Putative uncharacterized protein 
GRMZM5G833991	RefSeq peptide	NP_001170180	hypothetical protein LOC100384123 
GRMZM2G398809	RefSeq peptide	NP_001168147	hypothetical protein LOC100381896 
GRMZM2G175177	RefSeq DNA	NM_001148164	LOC100273758 (pco099025), mRNA
AC214166.3_FG002	RefSeq peptide	NP_001168996	hypothetical protein LOC100382827 
GRMZM2G042442	RefSeq peptide	NP_001146438	hypothetical protein LOC100280021 
GRMZM2G437040	RefSeq peptide	NP_001145666	hypothetical protein LOC100279164 
GRMZM5G889769	RefSeq peptide	NP_001140629	hypothetical protein LOC100272704 
GRMZM5G866457	RefSeq peptide	YP_588325	hypothetical protein ZeamMp062 
GRMZM2G110865	RefSeq peptide	YP_588324	hypothetical protein ZeamMp061 
GRMZM5G859661	RefSeq peptide	YP_588323	hypothetical protein ZeamMp060 
GRMZM5G846702	RefSeq peptide	YP_588321	hypothetical protein ZeamMp058 
GRMZM2G065915	RefSeq peptide	YP_588316	hypothetical protein ZeamMp054 
GRMZM5G801993	RefSeq peptide	YP_588314	hypothetical protein ZeamMp052 
GRMZM5G829738	UniProtKB/TrEMBL	C4J9M1	Putative uncharacterized protein 
GRMZM2G062499	RefSeq peptide	NP_001150782	LOC100284415 
GRMZM5G857140	RefSeq peptide	NP_001146240	hypothetical protein LOC100279813 
GRMZM2G018612	RefSeq peptide	NP_001141485	hypothetical protein LOC100273597 
GRMZM5G838088	UniProtKB/TrEMBL	C4J3Q0	Putative uncharacterized protein 
GRMZM2G014367	UniProtKB/TrEMBL	B7ZYE4	Putative uncharacterized protein 
GRMZM2G315848	RefSeq peptide	NP_001152048	nucleotide pyrophosphatase/phosphodiesterase 
GRMZM5G801886	RefSeq peptide	NP_001170291	hypothetical protein LOC100384254 
GRMZM2G076911	RefSeq peptide	NP_001106237	LOC100127509 
GRMZM2G086887	RefSeq peptide	NP_001130787	hypothetical protein LOC100191891 
GRMZM5G890796	UniProtKB/TrEMBL	C4J131	Putative uncharacterized protein 
GRMZM5G879542	UniProtKB/TrEMBL	C4J958	Putative uncharacterized protein 
GRMZM5G828460	RefSeq peptide	NP_001168988	hypothetical protein LOC100382817 
GRMZM5G864005	UniProtKB/TrEMBL	C0PG19	Putative uncharacterized protein 
GRMZM2G092991	RefSeq peptide	NP_001150020	non-imprinted in Prader-Willi/Angelman syndrome region protein 1 
